Gene,dropout,highly_variable,F_pval,Adj_F_pval
MAL,0.6697530864197531,1,6.050056164000518e-34,1.6090277033128e-29
TRG-AS1,0.9351851851851852,0,1.959125002010843e-18,2.6547934977248784e-13
CD44,0.2191358024691358,0,1.7422246433449002e-14,1.959618470264599e-10
LAG3,0.43209876543209874,1,2.0343022401540437e-14,3.1461943534719785e-10
LITAF,0.5216049382716049,0,1.2537397789440338e-11,2.3017788767889066e-07
KLRB1,0.5462962962962963,1,2.5293434877314058e-11,4.896416685911128e-07
RPS2,0.0,0,4.100233107441104e-10,3.6012347382655215e-06
FCER1G,0.595679012345679,1,3.831406829653864e-10,8.322903636558293e-06
RPL41,0.0,0,9.864291271306812e-10,8.663807023588772e-06
NELL2,0.6574074074074074,1,1.1277652814486623e-09,2.891236611978565e-05
ENTPD1,0.41975308641975306,1,2.2081430835123485e-09,3.342391014684267e-05
RPL10,0.0,0,3.973130936768543e-09,3.489600901763811e-05
IL9R,0.3950617283950617,1,3.352203190304386e-09,4.867009082154933e-05
CD81,0.19135802469135801,0,6.007349626310284e-09,6.524834646104643e-05
MMP25,0.5339506172839507,0,2.3390716782204767e-08,0.0004408130835853368
CXCR3,0.3734567901234568,1,4.345397336494232e-08,0.0006091459328710809
NPDC1,0.9074074074074074,0,8.294003292845161e-09,0.0007867392939474381
NKG7,0.05864197530864197,1,8.645834330528659e-08,0.000806668248777402
UBA52,0.0030864197530864196,0,2.137368202654326e-07,0.0018830624134203698
ZDHHC14,0.5370370370370371,1,1.3377351097356573e-07,0.002537854733262588
HAVCR2,0.4444444444444444,0,1.6810950164960913e-07,0.0026577103553793303
HOXB2,0.6635802469135802,0,1.0599440089302101e-07,0.002767224024459291
RPS21,0.0,0,5.717353595926107e-07,0.0050215516633019
BST2,0.1574074074074074,0,5.612350782225657e-07,0.005850191107023186
RPS19,0.0,0,7.091001365841717e-07,0.00622802649961878
PDE6G,0.8919753086419753,0,8.485697810208975e-08,0.006899337820836912
GLIPR1,0.35185185185185186,0,1.2947101543783606e-06,0.017544506326825075
RPL28,0.0,0,2.5717355037489974e-06,0.022587552929427445
PRKAR1B,0.7561728395061729,0,6.381302859070536e-07,0.02298635758941032
RPS28,0.0,0,2.971567833575223e-06,0.026099280282291186
AFDN,0.8395061728395061,1,6.908621910184351e-07,0.03780732711699293
RPL18,0.0,0,5.596159190683005e-06,0.049151066171768835
RPS29,0.009259259259259259,0,5.639281973112024e-06,0.04999270902376667
RPL29,0.0,0,6.592344580727161e-06,0.05790056245252665
IL2RG,0.0030864197530864196,0,8.572334715344156e-06,0.07552391430581158
SIRPG,0.49691358024691357,1,4.35825962961688e-06,0.07608751264983876
FILIP1L,0.6975308641975309,1,2.7535511486842235e-06,0.07995671913675005
RPL13,0.0,0,9.265996169735138e-06,0.08138324435878372
RPS18,0.0,0,1.0205250311566784e-05,0.08963271348649106
SETX,0.49074074074074076,0,6.216415793753731e-06,0.1072121496542948
RPL8,0.0,0,1.3244526200968732e-05,0.11632667362310838
NDFIP2,0.3333333333333333,1,1.2054877442009875e-05,0.15881698285975906
ALOX5AP,0.4506172839506173,1,1.2220515033177912e-05,0.1953697857628883
H2AFJ,0.6820987654320988,0,8.469945498196277e-06,0.2340083120840113
PLPP1,0.5216049382716049,1,1.3959283458473973e-05,0.25628271782910783
RPS12,0.0,0,3.057203635384327e-05,0.2685141952958054
CST7,0.19135802469135801,1,2.4805473186210938e-05,0.26942265878708005
RPLP2,0.0,0,3.243184511672847e-05,0.28484889566022614
RPS3,0.0030864197530864196,0,3.556136769931099e-05,0.31330247545197426
NME2,0.04938271604938271,0,3.7525589304783585e-05,0.3467086664932085
CARS,0.8055555555555556,0,7.877767781324233e-06,0.355836519891621
RPSA,0.0,0,4.4013857716775236e-05,0.3865737123264369
ENG,0.845679012345679,0,7.0749838267572386e-06,0.40266449751864913
RPL27,0.0030864197530864196,0,4.6932256469126424e-05,0.41348218816142823
SNX8,0.845679012345679,0,8.15258115987134e-06,0.4639946997199318
RPS14,0.0,0,5.41186813190716e-05,0.4753243780254059
LYAR,0.7993827160493827,0,1.0999004299324512e-05,0.48153505450082107
LY6E,0.08641975308641975,0,5.2054982951741384e-05,0.5004474613037393
SPOCK2,0.6728395061728395,0,2.2644485254230954e-05,0.6079172691705943
RPL19,0.0,0,7.312680172193457e-05,0.6422726995237513
RPS25,0.006172839506172839,0,7.314994680028597e-05,0.6464665168012403
CD7,0.13580246913580246,1,6.780333981147108e-05,0.6890979345528027
NCAM1,0.8611111111111112,1,1.1311227909504756e-05,0.7152949060500982
RPS15,0.0,0,8.713021606721462e-05,0.765264687718346
TXNIP,0.28703703703703703,0,6.320462606241057e-05,0.7786186093021352
ARAP3,0.9351851851851852,0,5.964906144109206e-06,0.8082993188115442
PDE7B,0.18518518518518517,1,9.249594589504708e-05,0.9970264138862436
WARS,0.7561728395061729,1,0.8661660351344849,1.0
ZBTB25,0.8703703703703703,0,0.22855591629303953,1.0
MTHFD1,0.7407407407407407,0,0.03695921795887725,1.0
SYNE2,0.6419753086419753,1,0.5499711185397075,1.0
SGPP1,0.9166666666666666,0,0.0334553136813287,1.0
WDR89,0.904320987654321,0,0.14759286807840824,1.0
PPP2R5E,0.6851851851851852,0,0.2877088821376835,1.0
NSMCE3,0.7932098765432098,0,0.5217397357992626,1.0
SNAPC1,0.9135802469135802,0,0.919515266195745,1.0
HIF1A-AS3,0.8950617283950617,0,0.9144590675226498,1.0
HIF1A,0.5,0,0.1609856113828405,1.0
AL359220.1,0.9228395061728395,0,0.8922624816708837,1.0
PRKCH,0.2777777777777778,0,0.38683707717745264,1.0
MNAT1,0.49382716049382713,0,0.724710627978764,1.0
PPM1A,0.8425925925925926,0,0.7710162422128779,1.0
DHRS7,0.4444444444444444,0,0.14013485845193885,1.0
PCNX4,0.7746913580246914,0,0.4735500520995575,1.0
AC091057.6,0.9351851851851852,0,0.5256789616020979,1.0
JKAMP,0.8024691358024691,0,0.6889932275702012,1.0
KLF13,0.404320987654321,0,0.19078018954705286,1.0
DAAM1,0.8703703703703703,0,0.10095886437931154,1.0
KIAA0586,0.8333333333333334,0,0.27354780639551374,1.0
TIMM9,0.8148148148148148,0,0.3949821540713976,1.0
ARID4A,0.6820987654320988,0,0.926159099830479,1.0
PSMA3-AS1,0.8580246913580247,0,0.5787369176969646,1.0
AKAP5,0.9259259259259259,0,0.01165990676748094,1.0
ZBTB1,0.6944444444444444,0,0.055171490210979245,1.0
MAX,0.5401234567901234,0,0.795951841542911,1.0
PSMA3,0.44753086419753085,0,0.631926013129621,1.0
MED6,0.7993827160493827,0,0.7931948457521213,1.0
COX16,0.5709876543209876,0,0.31572192898538465,1.0
SRSF5,0.10493827160493827,0,0.11276326276069679,1.0
SUSD6,0.8858024691358025,0,0.7804076642148515,1.0
SLC39A9,0.8796296296296297,0,0.7172875399689865,1.0
ERH,0.2345679012345679,0,0.7094753742299738,1.0
DCAF5,0.7283950617283951,0,0.7776425023113314,1.0
CYFIP1,0.9197530864197531,0,0.759202557593367,1.0
ACTN1,0.8672839506172839,1,0.46681891919703233,1.0
ZFP36L1,0.3734567901234568,1,0.014363714806496772,1.0
RAD51B,0.7283950617283951,1,0.301761449388717,1.0
TUBGCP5,0.9074074074074074,0,0.48226849706219976,1.0
CHURC1,0.36728395061728397,0,0.7964814462509215,1.0
ZFYVE26,0.9135802469135802,0,0.00034745074110392266,1.0
SNRPN,0.654320987654321,0,0.6318231702115593,1.0
VTI1B,0.654320987654321,0,0.5719901367228337,1.0
PIGH,0.8549382716049383,0,0.11896602491107064,1.0
EIF2S1,0.7037037037037037,0,0.8629428879295599,1.0
SNHG14,0.9320987654320988,0,0.13004445686143312,1.0
ATP6V1D,0.7283950617283951,0,0.9353529570431415,1.0
MPP5,0.9382716049382716,0,0.5013238244217382,1.0
UBE3A,0.5771604938271605,0,0.7034607766844649,1.0
ATP10A,0.8580246913580247,0,0.01708044266947151,1.0
HERC2,0.5339506172839507,0,0.9462229281761038,1.0
GPHN,0.6944444444444444,1,0.006058932387950748,1.0
FUT8,0.2345679012345679,0,0.03747263509030333,1.0
RDH11,0.8240740740740741,0,0.7131938034390575,1.0
LINC02256,0.9135802469135802,0,0.017518843838421044,1.0
ACTR10,0.7623456790123457,0,0.6456965111628913,1.0
ARMH4,0.9444444444444444,0,0.4469295478354969,1.0
RTRAF,0.3117283950617284,0,0.27566962719071675,1.0
GNG2,0.3888888888888889,0,0.6545482681606123,1.0
TMX1,0.6080246913580247,0,0.9183965461986101,1.0
NIN,0.5648148148148148,0,0.7307088543415174,1.0
MAP4K5,0.7839506172839507,0,0.5380039615804336,1.0
CDKL1,0.8425925925925926,0,0.20051003731706085,1.0
DMAC2L,0.9351851851851852,0,0.9498969532595237,1.0
L2HGDH,0.9475308641975309,0,0.549463189114151,1.0
SOS2,0.7962962962962963,0,0.18509811089675138,1.0
NOP10,0.11419753086419752,0,0.020215107837651104,1.0
VCPKMT,0.8796296296296297,0,0.9677141604139087,1.0
LINC01588,0.9290123456790124,0,0.7775932176685263,1.0
PTGER2,0.5740740740740741,0,0.1860413021868193,1.0
ARF6,0.21296296296296297,0,0.049335800814877075,1.0
NEMF,0.5462962962962963,0,0.8592009925234314,1.0
KLHDC2,0.7839506172839507,0,0.1324618038561533,1.0
POLE2,0.9320987654320988,0,0.35385861841409927,1.0
DNAAF2,0.8240740740740741,0,0.3036752036650737,1.0
LPCAT4,0.7870370370370371,0,0.28020603631485247,1.0
MGAT2,0.7191358024691358,0,0.7482436975291495,1.0
RPL36AL,0.012345679012345678,0,0.8444383747191455,1.0
GOLGA8A,0.7932098765432098,0,0.900813018846538,1.0
LRR1,0.8364197530864198,0,0.25850824925658306,1.0
GOLGA8B,0.5493827160493827,0,0.042759505664726284,1.0
MIS18BP1,0.4382716049382716,0,0.6761301766926723,1.0
FANCM,0.9197530864197531,0,0.45173948866145375,1.0
AL627171.2,0.8487654320987654,0,0.306076227011662,1.0
TXNDC16,0.9444444444444444,0,0.6466355356641638,1.0
ERO1A,0.6111111111111112,0,0.2019208922740085,1.0
PSMC6,0.691358024691358,0,0.33688170319529087,1.0
NAA30,0.9259259259259259,0,0.7446539294738614,1.0
ARHGAP11A,0.8919753086419753,1,0.3948491298677249,1.0
AP5M1,0.8395061728395061,0,0.05562281155224512,1.0
EXOC5,0.8179012345679012,0,0.4082627988543639,1.0
TMEM260,0.8888888888888888,0,0.9555550791741908,1.0
AVEN,0.9104938271604939,0,0.4182702945522079,1.0
KTN1,0.5493827160493827,0,0.37199123528639677,1.0
EMC7,0.5648148148148148,0,0.13513584687568894,1.0
ATG14,0.8796296296296297,0,0.3630370938157733,1.0
FBXO34,0.8240740740740741,0,0.0678005312900467,1.0
DLGAP5,0.9259259259259259,1,0.9936747003277405,1.0
LGALS3,0.8796296296296297,1,0.00510923458347877,1.0
MAPK1IP1L,0.6296296296296297,0,0.04443964033545619,1.0
SOCS4,0.8734567901234568,0,0.6567753918383743,1.0
KATNBL1,0.8672839506172839,0,0.26379404636624154,1.0
WDHD1,0.8395061728395061,0,0.2785301239447222,1.0
GCH1,0.7932098765432098,0,0.23473210964984628,1.0
CGRRF1,0.9197530864197531,0,0.9160296033923551,1.0
GMFB,0.9012345679012346,0,0.04742467969242535,1.0
EMC4,0.5802469135802469,0,0.8589581066462169,1.0
SLC12A6,0.7469135802469136,0,0.2683892141278262,1.0
CNIH1,0.6512345679012346,0,0.0810565957176046,1.0
CDKN3,0.9104938271604939,1,0.16080678895435985,1.0
AL365295.1,0.8981481481481481,0,0.07683506999040388,1.0
DDHD1,0.6018518518518519,0,0.8669690703459954,1.0
GNPNAT1,0.9320987654320988,0,0.40161356123825165,1.0
STYX,0.8518518518518519,0,0.6859084837031046,1.0
NIPA2,0.8209876543209876,0,0.8110286899776008,1.0
TTC9,0.9382716049382716,0,0.14436248425652246,1.0
NIPA1,0.904320987654321,0,0.40954693444618184,1.0
PCNX1,0.5833333333333334,0,0.1561725374294847,1.0
EIF5,0.3765432098765432,0,0.6757389645199092,1.0
RIN3,0.4351851851851852,0,0.6520093814464107,1.0
CPSF2,0.7716049382716049,0,0.8988954839767056,1.0
NDUFB1,0.42901234567901236,0,0.8637286029455151,1.0
ATXN3,0.8641975308641975,0,0.5090097502768864,1.0
TRIP11,0.6944444444444444,0,0.42478488903150236,1.0
MARK3,0.7654320987654321,0,0.9079417068166975,1.0
BAG5,0.8734567901234568,0,0.5323511506480212,1.0
TC2N,0.46296296296296297,0,0.15555420632015152,1.0
KLC1,0.7746913580246914,0,0.19189947869987084,1.0
PPP4R3A,0.7407407407407407,0,0.9217010307715989,1.0
CCDC88C,0.6574074074074074,0,0.7968777154041803,1.0
GOLGA5,0.845679012345679,0,0.7324971977038552,1.0
COA8,0.8518518518518519,0,0.6102536571550929,1.0
AL135818.1,0.8055555555555556,0,0.3660448701449436,1.0
GPR68,0.6604938271604939,0,0.8224829472881032,1.0
DGLUCY,0.6759259259259259,0,0.7856289982816989,1.0
RPS6KA5,0.44135802469135804,0,0.4591827563722598,1.0
CALM1,0.021604938271604937,0,0.04443651797886157,1.0
NRDE2,0.9351851851851852,0,0.8333576657518078,1.0
PSMC1,0.6018518518518519,0,0.47072383991338884,1.0
ZFYVE21,0.8919753086419753,0,0.08164523632902518,1.0
TDP1,0.8333333333333334,0,0.26412788889604016,1.0
EFCAB11,0.9444444444444444,0,0.22610104734499958,1.0
FOXN3,0.3055555555555556,0,0.3537036719157318,1.0
ZC3H14,0.8549382716049383,0,0.6858066577594664,1.0
XRCC3,0.9475308641975309,0,0.10289341448882074,1.0
RCOR1,0.8858024691358025,0,0.03706113011714141,1.0
ITPK1,0.8703703703703703,0,0.7495149201524781,1.0
CINP,0.8302469135802469,0,0.3956224266271461,1.0
YY1,0.5030864197530864,0,0.3537230658097914,1.0
EVL,0.033950617283950615,0,0.9401935183163849,1.0
CCNK,0.6975308641975309,0,0.5224476785001444,1.0
SETD3,0.8549382716049383,0,0.30773204805097937,1.0
BCL11B,0.6141975308641975,0,0.7929730363061531,1.0
LINC01550,0.9444444444444444,0,0.6225473984654466,1.0
LINC02325,0.9444444444444444,0,0.11626062864516758,1.0
VRK1,0.7283950617283951,0,0.9640378136051649,1.0
PPP2R5C,0.5401234567901234,0,0.7820401754392241,1.0
DYNC1H1,0.5679012345679012,0,0.21527537911358172,1.0
HSP90AA1,0.04938271604938271,1,0.041524090657856526,1.0
PAPOLA,0.4351851851851852,0,0.761735924801597,1.0
GSKIP,0.8117283950617284,0,0.7873738902163435,1.0
ATG2B,0.9135802469135802,0,0.4956129076196065,1.0
GLRX5,0.5277777777777778,0,0.6780308280777216,1.0
SYNE3,0.941358024691358,0,0.03928811311264475,1.0
DICER1,0.8209876543209876,0,0.8181382323120204,1.0
IFI27L2,0.2191358024691358,0,0.9243504713194602,1.0
IFI27L1,0.7685185185185185,0,0.9417599673863867,1.0
DDX24,0.3425925925925926,0,0.5562625610298702,1.0
ASB2,0.4382716049382716,1,0.09394963295771859,1.0
WDR20,0.8518518518518519,0,0.4230736585704179,1.0
BTBD7,0.8827160493827161,0,0.9270770222836863,1.0
UBR7,0.8672839506172839,0,0.004555292660031808,1.0
GON7,0.8240740740740741,0,0.06260970319055513,1.0
TMEM251,0.904320987654321,0,0.044018926134104186,1.0
MOAP1,0.8518518518518519,0,0.17471534570367014,1.0
GPR65,0.7654320987654321,0,0.6510847910598635,1.0
WDR25,0.9444444444444444,0,0.9451799062594243,1.0
ATP5MPL,0.4506172839506173,0,0.7877192986020332,1.0
GALC,0.9382716049382716,0,0.5569194432071454,1.0
BRF1,0.9259259259259259,0,0.5646469784615751,1.0
FCF1,0.9104938271604939,0,0.27533528136925883,1.0
BTBD6,0.8796296296296297,0,0.1624476410996864,1.0
AREL1,0.9104938271604939,0,0.32764358828149054,1.0
ISCA2,0.8055555555555556,0,0.24996116673281402,1.0
NPC2,0.5648148148148148,0,0.514221204013104,1.0
ABCD4,0.8765432098765432,0,0.4933004714717507,1.0
PACS2,0.9475308641975309,0,0.5263468897453205,1.0
MTA1,0.904320987654321,0,0.09112709188854022,1.0
LIN52,0.8333333333333334,0,0.7245518650473051,1.0
ALDH6A1,0.9320987654320988,0,0.7070341654672718,1.0
COQ6,0.9104938271604939,0,0.6328960007244605,1.0
YLPM1,0.7345679012345679,0,0.241332642782574,1.0
CRIP1,0.07716049382716049,1,0.4938423722830675,1.0
ELMSAN1,0.8858024691358025,0,0.045799882305974,1.0
PNMA1,0.8888888888888888,0,0.8976759213532843,1.0
ACOT2,0.8518518518518519,0,0.5197535459352509,1.0
RIOX1,0.9228395061728395,0,0.3554747286301604,1.0
NUMB,0.7901234567901234,0,0.14870207879162325,1.0
PSEN1,0.8487654320987654,0,0.9524382566208134,1.0
RBM25,0.38271604938271603,0,0.63842161495325,1.0
ZFYVE1,0.9320987654320988,0,0.1355117031450829,1.0
TEDC1,0.9444444444444444,0,0.6119602604506629,1.0
DPF3,0.9290123456790124,0,0.7532788433877232,1.0
SIPA1L1,0.6697530864197531,0,0.056665763896604306,1.0
TMEM121,0.8580246913580247,0,0.7035401347176495,1.0
ZNF410,0.8148148148148148,0,0.42240990910781906,1.0
DLST,0.7685185185185185,0,0.6028596422042615,1.0
EIF2B2,0.7839506172839507,0,0.2365537333971992,1.0
MLH3,0.9104938271604939,0,0.9264910225255365,1.0
LINC02328,0.8950617283950617,0,0.7193683505171831,1.0
SEL1L,0.7901234567901234,0,0.8427765665314885,1.0
GTF2A1,0.9197530864197531,0,0.970670942825486,1.0
CEP128,0.8950617283950617,1,0.6372187252446686,1.0
SNW1,0.6882716049382716,0,0.5824655243963766,1.0
SLIRP,0.5987654320987654,0,0.028893840274967067,1.0
SPTLC2,0.6820987654320988,0,0.24213357584868778,1.0
SIVA1,0.4722222222222222,1,0.1689322525590603,1.0
